query_id,corpus_id
q00001,MSFT20230966
q00001,MSFT20230216
q00001,MSFT20230015
q00001,MSFT20230254
q00001,MSFT20230155
q00001,MSFT20230016
q00001,MSFT20231728
q00001,MSFT20230148
q00001,MSFT20231720
q00001,MSFT20230170
q00002,MSFT20230122
q00002,MSFT20230120
q00002,MSFT20230501
q00002,MSFT20230566
q00002,MSFT20231152
q00002,MSFT20231710
q00002,MSFT20231728
q00002,MSFT20231521
q00002,MSFT20231529
q00002,MSFT20231708
q00003,MSFT20230264
q00003,MSFT20230170
q00003,MSFT20230966
q00003,MSFT20231728
q00003,MSFT20230509
q00003,PG20230012
q00003,MSFT20230574
q00003,MSFT20230236
q00003,MSFT20230530
q00003,MSFT20230248
q00004,MSFT20230319
q00004,MSFT20230317
q00004,MSFT20230327
q00004,MSFT20230095
q00004,MSFT20230216
q00004,MSFT20230469
q00004,MSFT20230058
q00004,MSFT20230170
q00004,MSFT20231728
q00004,MSFT20230010
q00005,MSFT20230101
q00005,MSFT20230707
q00005,MSFT20231297
q00005,MSFT20230713
q00005,MSFT20230076
q00005,MSFT20231693
q00005,MSFT20230673
q00005,MSFT20230012
q00005,MSFT20231152
q00005,MSFT20230063
q00006,MSFT20230048
q00006,MSFT20230335
q00006,MSFT20230467
q00006,MSFT20231318
q00006,MSFT20230216
q00006,MSFT20230331
q00006,MSFT20231335
q00006,MSFT20230218
q00006,MSFT20230011
q00006,MSFT20230722
q00007,MSFT20230966
q00007,MSFT20230574
q00007,MSFT20230482
q00007,MSFT20230986
q00007,MSFT20231767
q00007,MSFT20230509
q00007,ADBE20230970
q00007,MSFT20230530
q00007,MSFT20230183
q00007,MSFT20231529
q00008,MSFT20230508
q00008,MSFT20231529
q00008,V20231038
q00008,MSFT20230707
q00008,MSFT20230708
q00008,MSFT20230979
q00008,MSFT20230713
q00008,MSFT20230729
q00008,MSFT20230710
q00008,MSFT20230006
q00009,ADBE20231907
q00009,ADBE20231518
q00009,ADBE20231681
q00009,ADBE20231011
q00009,ADBE20231356
q00009,ADBE20230975
q00009,ADBE20231155
q00009,ADBE20230986
q00009,ADBE20231454
q00009,ADBE20230776
q00010,ADBE20230726
q00010,ADBE20230725
q00010,ADBE20231565
q00010,ADBE20230728
q00010,ADBE20230727
q00010,ADBE20231573
q00010,ADBE20230451
q00010,ADBE20230453
q00010,ADBE20231571
q00010,ADBE20230454
q00011,ADBE20231575
q00011,ADBE20231585
q00011,ADBE20231490
q00011,ADBE20231513
q00011,ADBE20231531
q00011,ADBE20231488
q00011,ADBE20231480
q00011,ADBE20231498
q00011,ADBE20231528
q00011,ADBE20231487
q00012,ADBE20230283
q00012,ADBE20231518
q00012,ADBE20231681
q00012,ADBE20231702
q00012,ADBE20230961
q00012,ADBE20230258
q00012,ADBE20230004
q00012,ADBE20230185
q00012,ADBE20230218
q00012,ADBE20230497
q00013,ADBE20230650
q00013,ADBE20230583
q00013,ADBE20231518
q00013,ADBE20231681
q00013,ADBE20231378
q00013,ADBE20230569
q00013,ADBE20230773
q00013,ADBE20231150
q00013,ADBE20231815
q00013,ADBE20231080
q00014,ADBE20230773
q00014,ADBE20230583
q00014,ADBE20230650
q00014,ADBE20231733
q00014,ADBE20230569
q00014,ADBE20230416
q00014,ADBE20230651
q00014,ADBE20231518
q00014,ADBE20231681
q00014,ADBE20230550
q00015,CPNG20230991
q00015,CPNG20230245
q00015,CPNG20230532
q00015,CPNG20230234
q00015,CPNG20230490
q00015,CPNG20230812
q00015,CPNG20230323
q00015,CPNG20230810
q00015,CPNG20230036
q00015,CPNG20231540
q00016,CPNG20231088
q00016,CPNG20230908
q00016,CPNG20230947
q00016,CPNG20231540
q00016,CPNG20231566
q00016,CPNG20230486
q00016,CPNG20230616
q00016,CPNG20230867
q00016,CPNG20230321
q00016,CPNG20230682
q00017,CPNG20231023
q00017,CPNG20231564
q00017,CPNG20231374
q00017,CPNG20230683
q00017,CPNG20230589
q00017,DAL20230608
q00017,CPNG20230689
q00017,CPNG20230708
q00017,CPNG20230700
q00017,CPNG20231379
q00018,CPNG20230761
q00018,CPNG20231427
q00018,CPNG20230206
q00018,CPNG20230539
q00018,CPNG20230215
q00018,CPNG20231432
q00018,CPNG20231424
q00018,CPNG20230808
q00018,CPNG20231426
q00018,CPNG20231429
q00019,CPNG20230539
q00019,CPNG20230684
q00019,CPNG20230808
q00019,CPNG20230205
q00019,CPNG20231426
q00019,CPNG20230730
q00019,CPNG20231430
q00019,CPNG20230063
q00019,CPNG20231424
q00019,CPNG20230761
q00020,CPNG20230644
q00020,CPNG20230014
q00020,CPNG20230320
q00020,CPNG20230322
q00020,CPNG20231415
